age,gender,past_purchases,campaign_variant,ad_source,email_signup,campaign_spend
57,Man,31,C,TikTok,TRUE,184.05
55,Woman,24,A,Instagram,TRUE,270.4
48,Woman,18,A,Instagram,TRUE,149.88
44,Woman,70,A,Facebook,TRUE,216.13
31,Man,51,A,Google Search,FALSE,134.29
60,Man,38,B,Instagram,FALSE,283.33
31,Man,28,B,Facebook,TRUE,144.18
73,Other,0,A,Facebook,FALSE,231.15
63,Woman,30,C,Google Search,TRUE,469.04
36,Man,24,C,Google Search,FALSE,238.79
25,Woman,70,A,Instagram,TRUE,65.46
29,Man,52,A,TikTok,TRUE,35.02
44,Man,50,B,Facebook,TRUE,193.93
36,Woman,49,A,Facebook,TRUE,136.89
35,Man,33,C,Google Search,TRUE,151.51
26,Woman,38,C,Instagram,FALSE,192.11
39,Woman,49,B,Google Search,FALSE,305.58
28,Woman,89,A,Instagram,FALSE,167.31
18,Woman,63,B,Instagram,TRUE,80.68
34,Woman,44,A,Instagram,TRUE,85.75
54,Woman,13,C,Instagram,FALSE,332.21
31,Man,39,A,Instagram,FALSE,81.65
49,Woman,13,A,Google Search,FALSE,155.96
18,Woman,76,B,Google Search,TRUE,90.24
39,Non-Binary,53,C,Facebook,FALSE,188.37
48,Non-Binary,86,B,Instagram,FALSE,261.99
45,Man,37,C,TikTok,TRUE,68.34
42,Man,47,A,Google Search,TRUE,193.06
30,Woman,94,C,Instagram,TRUE,147.34
27,Woman,45,A,Instagram,FALSE,80.05
25,Other,43,C,TikTok,TRUE,108.62
42,Man,17,B,Facebook,TRUE,114.68
26,Non-Binary,51,B,Instagram,TRUE,162.67
33,Woman,51,A,Instagram,TRUE,190.35
36,Man,24,B,Facebook,TRUE,112
68,Woman,22,C,TikTok,TRUE,354.64
30,Woman,63,C,TikTok,FALSE,16.96
44,Woman,63,C,Facebook,TRUE,170.66
41,Woman,11,A,Google Search,TRUE,246.63
26,Other,31,B,Google Search,TRUE,191.41
39,Woman,55,A,Facebook,TRUE,145.14
62,Man,59,A,Facebook,TRUE,153.67
47,Man,14,B,Google Search,TRUE,247.16
41,Non-Binary,34,B,TikTok,TRUE,220.84
34,Man,63,A,Facebook,FALSE,133.82
18,Man,28,A,Google Search,TRUE,43.43
57,Woman,52,B,Instagram,TRUE,475.46
18,Man,31,A,TikTok,TRUE,0
51,Other,0,C,Facebook,TRUE,231.71
69,Man,8,C,Google Search,TRUE,441.24
18,Woman,86,C,Facebook,TRUE,105.4
51,Woman,38,C,Facebook,TRUE,205.45
36,Man,37,B,Google Search,FALSE,237
18,Woman,70,C,Instagram,TRUE,71.45
18,Man,48,A,Instagram,TRUE,63.34
18,Woman,99,A,Facebook,FALSE,100.6
32,Woman,64,C,TikTok,TRUE,112.78
18,Woman,70,C,Google Search,TRUE,111.28
50,Man,13,B,Instagram,TRUE,210.48
72,Man,10,C,Google Search,TRUE,413.49
21,Man,28,A,Google Search,TRUE,79.63
52,Man,17,C,TikTok,FALSE,175.49
52,Man,17,B,Instagram,TRUE,242.33
45,Woman,28,A,TikTok,FALSE,109.6
25,Non-Binary,52,C,Instagram,TRUE,159.25
38,Woman,46,C,Facebook,TRUE,180.14
36,Man,54,B,Instagram,TRUE,171.56
48,Woman,62,B,Facebook,FALSE,225.14
34,Man,35,A,Google Search,TRUE,141.61
55,Woman,57,A,Facebook,TRUE,191.07
34,Woman,69,C,Instagram,TRUE,197.93
56,Woman,55,C,Facebook,FALSE,204.66
24,Woman,79,A,Google Search,FALSE,157.85
21,Woman,65,B,Instagram,TRUE,60.8
80,Woman,0,A,Facebook,FALSE,270.2
34,Man,45,A,Instagram,FALSE,91.38
44,Man,17,B,Instagram,TRUE,244.82
50,Man,29,A,Google Search,TRUE,154.61
33,Man,56,C,Facebook,FALSE,92.33
48,Woman,42,B,Google Search,FALSE,393.38
46,Woman,46,C,Instagram,FALSE,253.22
37,Man,54,B,Instagram,TRUE,116.4
41,Man,24,B,Instagram,TRUE,272.67
39,Man,65,A,Facebook,TRUE,121.27
72,Man,9,A,Instagram,TRUE,234.01
29,Woman,50,B,TikTok,TRUE,104.03
24,Non-Binary,62,A,Instagram,FALSE,8.41
41,Man,49,B,Google Search,TRUE,267.43
45,Man,48,A,Facebook,TRUE,99.73
47,Woman,36,B,TikTok,TRUE,153.8
33,Man,47,B,Instagram,FALSE,163.55
24,Woman,75,A,Google Search,TRUE,140.77
59,Man,20,A,Google Search,FALSE,205.98
35,Woman,51,B,Google Search,FALSE,261.29
27,Man,38,A,Google Search,TRUE,95.64
36,Non-Binary,61,C,Google Search,TRUE,319.33
37,Woman,41,A,TikTok,FALSE,127.09
57,Man,47,A,Facebook,TRUE,186.6
41,Man,32,A,Instagram,FALSE,111.41
51,Woman,35,A,TikTok,FALSE,133.98
33,Man,54,B,Google Search,TRUE,221.29
43,Woman,75,B,Google Search,TRUE,345.72
35,Man,45,B,Google Search,TRUE,186.01
41,Woman,77,B,Facebook,FALSE,224.61
27,Woman,51,A,Instagram,FALSE,92.05
20,Woman,71,A,Instagram,FALSE,138.12
70,Man,16,A,Instagram,TRUE,196.34
49,Man,63,C,Facebook,TRUE,186.53
21,Woman,58,B,Google Search,TRUE,164.69
31,Woman,95,A,Facebook,FALSE,137.05
22,Man,54,C,Facebook,TRUE,112.7
73,Woman,20,B,Google Search,TRUE,582.49
60,Man,16,A,Google Search,TRUE,182.76
36,Woman,39,C,Google Search,TRUE,272.05
48,Woman,39,C,Instagram,TRUE,358.16
34,Woman,44,B,Instagram,TRUE,257.1
33,Man,49,A,Facebook,FALSE,47.57
28,Woman,73,A,TikTok,TRUE,93.46
31,Man,42,B,Instagram,TRUE,93.32
65,Woman,29,C,TikTok,TRUE,307.75
39,Woman,54,B,Google Search,TRUE,301.88
42,Man,15,A,Facebook,FALSE,131.46
44,Man,38,A,Google Search,TRUE,138.61
58,Non-Binary,37,A,Instagram,TRUE,209.39
32,Man,55,A,Facebook,TRUE,95.47
25,Woman,67,B,Google Search,TRUE,148.79
65,Woman,17,B,Instagram,FALSE,458.85
33,Man,55,B,Instagram,TRUE,137.27
29,Woman,51,A,TikTok,TRUE,52.1
21,Man,42,C,Google Search,TRUE,91.19
21,Man,30,A,TikTok,TRUE,0
31,Woman,75,C,Facebook,FALSE,114.1
49,Woman,48,C,Facebook,TRUE,250.61
57,Woman,47,C,TikTok,TRUE,237.89
51,Non-Binary,41,C,TikTok,TRUE,267.59
35,Man,31,C,Google Search,FALSE,154.73
41,Woman,95,C,Instagram,TRUE,250.83
29,Man,28,C,Instagram,TRUE,178.38
29,Woman,38,B,Facebook,TRUE,139.58
53,Woman,55,A,Facebook,TRUE,191.6
25,Woman,56,A,Google Search,TRUE,143.16
69,Man,29,A,Facebook,TRUE,234.06
39,Woman,26,A,TikTok,FALSE,52.54
43,Non-Binary,53,A,Google Search,TRUE,197.38
29,Man,17,A,TikTok,TRUE,30.94
31,Man,35,B,Instagram,FALSE,155.63
20,Woman,51,A,Facebook,TRUE,64.88
37,Man,43,A,TikTok,TRUE,133.61
46,Man,31,A,Instagram,FALSE,98.09
45,Woman,40,B,Google Search,FALSE,318.34
28,Man,36,C,Google Search,TRUE,151.79
28,Woman,60,B,Facebook,FALSE,56.82
32,Man,56,C,TikTok,TRUE,78.02
62,Woman,40,C,Google Search,FALSE,486.88
23,Man,47,A,Facebook,TRUE,47.55
37,Woman,68,C,Facebook,FALSE,154.36
69,Woman,15,A,TikTok,TRUE,277.4
38,Woman,62,B,Instagram,TRUE,307.52
20,Woman,73,A,Facebook,TRUE,100.85
30,Man,36,B,Google Search,TRUE,170.98
47,Man,31,C,TikTok,FALSE,130.12
34,Woman,61,C,Instagram,TRUE,248.13
32,Woman,70,B,Google Search,FALSE,239.61
35,Man,35,A,TikTok,TRUE,105.53
41,Woman,49,A,Google Search,TRUE,266.87
64,Man,28,A,Facebook,FALSE,138.83
39,Man,42,A,Instagram,TRUE,66.59
56,Woman,45,B,TikTok,FALSE,173.15
49,Man,23,A,Instagram,FALSE,215.12
38,Woman,40,C,Facebook,TRUE,181.39
18,Man,65,C,Facebook,FALSE,19.73
32,Man,42,B,Google Search,TRUE,131.58
33,Woman,31,A,Facebook,TRUE,83.99
41,Man,34,A,Google Search,TRUE,147.41
60,Woman,58,B,Facebook,FALSE,291.36
74,Man,0,A,Facebook,FALSE,143.5
63,Man,0,A,Instagram,TRUE,214.79
38,Man,32,C,Google Search,TRUE,219.06
18,Man,49,B,Instagram,FALSE,14.93
34,Woman,63,C,Facebook,FALSE,255.94
41,Man,10,B,Google Search,TRUE,226.39
53,Woman,16,B,Facebook,TRUE,335.84
54,Woman,35,A,Facebook,TRUE,205.51
50,Non-Binary,50,C,Instagram,FALSE,368.62
19,Non-Binary,83,A,TikTok,TRUE,106.51
53,Man,4,C,Instagram,TRUE,335.12
33,Woman,51,A,Instagram,FALSE,109.52
43,Man,40,A,Instagram,FALSE,221.06
41,Woman,32,A,Facebook,TRUE,153.09
46,Woman,23,B,Facebook,FALSE,221.56
40,Non-Binary,66,C,Facebook,TRUE,100.72
18,Woman,54,A,Instagram,FALSE,0
51,Other,56,B,Facebook,TRUE,236.35
46,Man,53,C,TikTok,TRUE,173.85
36,Man,37,C,Google Search,TRUE,160.16
42,Woman,30,A,Google Search,TRUE,206.8
42,Man,3,A,Google Search,FALSE,102.2
43,Man,46,A,Instagram,TRUE,220.97
65,Woman,23,B,TikTok,FALSE,261.78
37,Woman,79,B,Facebook,TRUE,224.54
43,Woman,74,A,Instagram,TRUE,216.53
58,Man,10,A,Google Search,TRUE,223.62
56,Woman,34,C,Facebook,TRUE,307.87
57,Man,24,A,Google Search,FALSE,179.58
31,Non-Binary,94,B,TikTok,TRUE,174.78
70,Woman,48,C,Instagram,FALSE,493.47
41,Man,33,C,Google Search,TRUE,200.13
68,Man,6,A,Facebook,TRUE,236.34
20,Woman,80,B,Facebook,FALSE,76.37
40,Man,18,B,Google Search,FALSE,197.91
59,Woman,42,B,Google Search,TRUE,472.92
29,Man,66,A,Google Search,FALSE,79.94
29,Woman,61,A,Google Search,FALSE,121.68
26,Woman,52,B,TikTok,FALSE,126.92
24,Non-Binary,66,A,Google Search,FALSE,41.16
33,Woman,53,A,Instagram,TRUE,230.64
45,Woman,45,C,Facebook,FALSE,204.01
18,Man,54,A,Google Search,TRUE,76.17
43,Man,47,B,Google Search,TRUE,256.92
59,Woman,31,C,Instagram,TRUE,434.53
71,Woman,28,A,Google Search,FALSE,290.36
60,Man,10,A,Instagram,TRUE,215.53
51,Man,53,B,Facebook,TRUE,230.75
18,Non-Binary,73,B,Facebook,TRUE,119.04
31,Woman,81,A,TikTok,TRUE,105.98
35,Other,50,C,TikTok,TRUE,92.97
51,Man,38,B,Facebook,TRUE,195.23
38,Woman,68,C,Instagram,TRUE,155.74
21,Other,52,B,Facebook,TRUE,94.45
65,Woman,15,C,Instagram,TRUE,464.31
54,Woman,42,B,Facebook,TRUE,285.94
44,Non-Binary,55,C,Facebook,TRUE,300.66
58,Man,30,B,Google Search,FALSE,273.28
20,Man,50,B,Google Search,TRUE,103.48
50,Man,20,A,Facebook,TRUE,183.4
32,Woman,42,C,Google Search,TRUE,229.69
50,Woman,17,C,TikTok,TRUE,145.75
39,Woman,34,B,Instagram,TRUE,283.64
49,Non-Binary,36,C,Instagram,TRUE,360.12
60,Woman,42,A,Instagram,TRUE,279.84
40,Man,47,A,Instagram,FALSE,134.3
55,Man,42,B,Google Search,TRUE,355.31
22,Other,50,B,Google Search,TRUE,143.76
29,Woman,53,C,Instagram,FALSE,133.02
63,Man,0,C,Facebook,TRUE,292.24
46,Man,50,B,Instagram,TRUE,319.96
18,Man,66,A,Facebook,TRUE,80.06
20,Non-Binary,52,C,TikTok,TRUE,113.95
37,Woman,49,C,Google Search,TRUE,254.72
53,Man,11,C,TikTok,FALSE,111.28
38,Man,57,A,Google Search,TRUE,146.76
49,Woman,37,A,Instagram,TRUE,190.96
54,Non-Binary,20,B,Facebook,TRUE,353.96
65,Woman,36,A,Facebook,TRUE,286.51
41,Woman,44,A,Instagram,TRUE,232.69
39,Non-Binary,55,A,Google Search,TRUE,244.33
18,Man,30,A,Instagram,TRUE,63.46
41,Woman,50,C,Google Search,FALSE,291.9
31,Woman,52,A,Facebook,TRUE,177.84
25,Man,46,C,TikTok,FALSE,73.81
37,Man,26,C,TikTok,FALSE,181.36
55,Woman,32,A,Google Search,FALSE,255.43
18,Woman,60,A,Facebook,FALSE,125.04
34,Man,39,B,Facebook,TRUE,140.42
42,Woman,51,C,TikTok,TRUE,223.72
27,Woman,84,B,TikTok,FALSE,101.75
45,Woman,56,A,Facebook,TRUE,129.35
46,Woman,40,B,TikTok,TRUE,216.64
40,Man,16,C,Instagram,FALSE,186.99
18,Woman,40,A,Google Search,TRUE,65.05
79,Non-Binary,20,B,Google Search,TRUE,739.08
37,Woman,63,B,Instagram,TRUE,309.64
50,Man,71,B,Facebook,TRUE,226.54
44,Woman,55,B,Facebook,FALSE,207.72
55,Man,31,C,Facebook,FALSE,199.86
52,Woman,37,B,Instagram,TRUE,375.59
37,Man,36,A,Google Search,FALSE,190.88
46,Man,33,B,Facebook,TRUE,157.39
26,Woman,52,A,Facebook,FALSE,93.3
53,Woman,42,C,Google Search,TRUE,360.69
33,Man,16,A,Instagram,TRUE,132.08
76,Man,2,A,Facebook,TRUE,325.44
18,Man,46,C,Facebook,FALSE,65.16
33,Woman,54,B,Facebook,TRUE,189.53
52,Woman,50,B,Facebook,TRUE,312.5
48,Man,16,A,Facebook,FALSE,113.63
31,Man,51,C,Instagram,TRUE,207.96
25,Man,52,B,TikTok,TRUE,82.6
42,Man,52,A,Google Search,TRUE,151.17
40,Woman,46,A,Facebook,TRUE,167.27
18,Woman,83,C,Facebook,FALSE,79.54
41,Woman,43,A,Facebook,TRUE,137.57
43,Woman,54,C,Google Search,TRUE,270.41
43,Woman,58,A,Facebook,TRUE,205.18
24,Other,38,C,Google Search,TRUE,162.42
47,Non-Binary,17,B,Google Search,TRUE,368.72
61,Man,18,B,Instagram,TRUE,343.38
47,Woman,45,C,Instagram,TRUE,287.28
23,Woman,58,B,TikTok,TRUE,133.96
33,Man,35,B,Google Search,TRUE,167.97
45,Woman,15,C,Facebook,FALSE,199.95
30,Woman,29,B,Facebook,TRUE,176.96
18,Man,28,A,Google Search,TRUE,24.84
53,Man,11,A,Instagram,FALSE,213.88
28,Woman,37,B,Google Search,TRUE,230.68
31,Woman,52,B,Google Search,FALSE,198.81
63,Woman,30,C,Google Search,TRUE,539.74
28,Woman,54,B,TikTok,FALSE,85.17
53,Non-Binary,57,A,Facebook,TRUE,289.75
21,Woman,87,C,Google Search,TRUE,171.72
35,Man,43,A,TikTok,TRUE,60.99
39,Woman,53,A,TikTok,TRUE,129
22,Man,86,A,Google Search,TRUE,54.12
30,Man,38,B,Google Search,FALSE,200.6
40,Man,17,B,Facebook,TRUE,171.72
50,Woman,35,A,TikTok,FALSE,176.61
18,Woman,81,C,Instagram,FALSE,182.65
35,Man,34,A,Google Search,TRUE,34.73
51,Woman,73,C,Google Search,TRUE,343.31
32,Man,17,B,Facebook,FALSE,140.08
43,Woman,43,B,Google Search,TRUE,292.54
47,Woman,24,A,Google Search,TRUE,325.27
44,Woman,37,C,Google Search,TRUE,340.27
50,Man,17,C,Instagram,FALSE,279.16
38,Man,49,B,Facebook,FALSE,151.99
34,Man,37,A,TikTok,TRUE,37.68
18,Woman,41,A,TikTok,TRUE,73.81
39,Man,60,C,TikTok,FALSE,67.37
46,Woman,37,C,Google Search,FALSE,358.18
48,Non-Binary,41,B,Google Search,FALSE,422.5
32,Woman,42,B,Facebook,TRUE,240.73
67,Man,0,C,Google Search,FALSE,341.92
44,Woman,37,A,Instagram,TRUE,239.75
42,Woman,44,C,Instagram,TRUE,230.62
59,Woman,23,C,Instagram,FALSE,375.46
29,Man,35,B,Facebook,FALSE,148.97
33,Woman,30,C,Instagram,TRUE,159.66
76,Woman,35,A,Instagram,TRUE,399.26
40,Woman,48,C,Google Search,FALSE,185.46
65,Man,26,A,Instagram,TRUE,291.55
18,Woman,90,B,Facebook,FALSE,54.83
37,Man,15,A,TikTok,TRUE,110.09
46,Non-Binary,19,B,Facebook,FALSE,221.23
45,Woman,52,C,Instagram,FALSE,274.13
25,Woman,83,C,Google Search,TRUE,106.36
40,Man,37,A,Instagram,TRUE,34.6
24,Woman,76,B,Facebook,TRUE,165.68
51,Woman,49,C,Instagram,FALSE,331.97
56,Man,25,A,Google Search,FALSE,239.64
18,Woman,70,B,TikTok,FALSE,115.85
59,Woman,9,C,Instagram,TRUE,387.74
21,Woman,48,A,TikTok,FALSE,36.28
47,Man,29,A,Facebook,TRUE,161.56
50,Non-Binary,47,C,Instagram,TRUE,404.09
37,Woman,47,A,TikTok,TRUE,143.34
30,Woman,38,C,TikTok,FALSE,126.38
42,Man,30,C,Instagram,TRUE,177.06
47,Woman,52,A,TikTok,TRUE,195.32
53,Man,30,B,TikTok,FALSE,208.58
18,Man,38,C,Facebook,TRUE,80.59
18,Woman,45,C,Facebook,TRUE,187.6
61,Woman,23,A,Google Search,TRUE,273.65
56,Man,46,A,TikTok,FALSE,104.14
47,Man,22,A,Google Search,TRUE,186.59
51,Woman,43,A,Facebook,TRUE,145.43
54,Other,36,C,Facebook,TRUE,215.94
18,Man,50,C,Facebook,FALSE,2.05
57,Man,61,B,Facebook,TRUE,299.84
33,Man,43,B,Facebook,TRUE,106.09
43,Woman,38,A,Facebook,TRUE,177.7
36,Woman,62,A,Facebook,TRUE,215.58
53,Woman,38,A,Facebook,TRUE,221.27
35,Woman,53,B,Google Search,TRUE,244.38
48,Man,9,B,TikTok,FALSE,186.35
34,Woman,48,A,Google Search,TRUE,176.43
24,Woman,52,A,Instagram,TRUE,91.49
58,Man,40,A,Facebook,FALSE,69.1
51,Man,27,A,Google Search,TRUE,272.95
66,Woman,47,C,Facebook,TRUE,319.85
41,Woman,64,A,Google Search,TRUE,211.15
57,Woman,35,C,Facebook,TRUE,291.26
70,Man,27,C,TikTok,FALSE,190.84
36,Man,50,C,Instagram,TRUE,217.48
20,Man,57,A,Facebook,TRUE,60.12
36,Woman,60,A,Facebook,TRUE,81.91
37,Woman,35,A,Instagram,FALSE,167.9
42,Woman,42,B,Facebook,TRUE,356.05
66,Woman,25,C,Instagram,TRUE,457.02
35,Woman,55,C,Instagram,TRUE,256.56
46,Man,37,A,Instagram,FALSE,189.57
37,Woman,49,A,Instagram,TRUE,155.74
40,Man,32,A,Google Search,TRUE,191.61
45,Man,16,C,TikTok,TRUE,227.8
60,Woman,16,C,Instagram,TRUE,418.32
42,Man,25,B,TikTok,FALSE,185.85
51,Woman,49,B,Google Search,FALSE,358.64
52,Man,33,B,Facebook,TRUE,244.46
54,Woman,61,B,Facebook,TRUE,244.47
31,Man,73,A,Facebook,TRUE,45.05
64,Man,4,B,Google Search,TRUE,383.66
34,Woman,48,C,Google Search,FALSE,242.46
38,Woman,55,A,Instagram,TRUE,241.15
61,Woman,58,C,Instagram,FALSE,394.53
59,Other,0,A,Google Search,TRUE,328.34
24,Woman,78,A,Instagram,TRUE,180.79
27,Man,44,A,TikTok,TRUE,120.18
20,Non-Binary,64,C,Instagram,FALSE,167.88
43,Woman,55,B,TikTok,TRUE,247.66
42,Woman,76,A,Instagram,TRUE,128.77
45,Woman,42,A,Instagram,TRUE,213.35
48,Man,15,A,Facebook,FALSE,85.31
31,Man,34,B,Facebook,FALSE,186.02
25,Man,60,C,Facebook,TRUE,101.9
55,Man,33,C,TikTok,TRUE,172.33
51,Man,26,C,Facebook,FALSE,150
18,Man,49,B,Google Search,TRUE,74.38
39,Woman,42,A,Instagram,FALSE,208.72
27,Man,61,C,TikTok,FALSE,48.69
18,Woman,76,B,TikTok,TRUE,148.32
42,Man,33,A,Instagram,TRUE,89.75
39,Non-Binary,37,C,Facebook,FALSE,196.45
39,Woman,66,B,Google Search,FALSE,184.44
43,Man,36,C,Instagram,TRUE,217.83
53,Woman,34,B,Instagram,TRUE,332.84
43,Woman,47,B,Instagram,FALSE,257.15
31,Non-Binary,62,A,Facebook,FALSE,31.76
29,Man,54,A,Facebook,TRUE,100.97
38,Man,61,A,Google Search,FALSE,114.09
45,Man,0,A,Facebook,FALSE,118.32
24,Woman,62,C,TikTok,FALSE,63.79
37,Woman,45,B,Facebook,FALSE,140.1
55,Woman,50,C,TikTok,TRUE,198.77
38,Man,38,B,Facebook,FALSE,106.3
30,Woman,60,C,Google Search,TRUE,199.25
36,Woman,50,C,Facebook,TRUE,83.72
57,Woman,28,C,Google Search,FALSE,335.32
48,Woman,86,A,TikTok,FALSE,87.09
59,Woman,10,B,TikTok,TRUE,284.96
42,Man,18,B,Instagram,TRUE,146.18
46,Woman,47,B,Google Search,TRUE,351.74
32,Man,35,A,Google Search,TRUE,182.94
49,Woman,42,B,Instagram,FALSE,313.98
32,Man,22,B,Google Search,TRUE,196.91
19,Woman,71,A,Google Search,FALSE,82.08
42,Man,33,C,Google Search,FALSE,188.94
69,Woman,0,A,TikTok,TRUE,168.16
52,Woman,33,A,Google Search,FALSE,301.47
57,Woman,5,A,Instagram,TRUE,356.64
45,Man,30,C,Google Search,TRUE,270.74
31,Man,41,B,Google Search,TRUE,145.82
37,Man,13,A,Google Search,FALSE,132.4
36,Man,54,B,TikTok,TRUE,70.51
33,Woman,55,B,Facebook,TRUE,192.03
51,Man,26,C,TikTok,TRUE,148.43
22,Other,66,B,Facebook,TRUE,51.83
53,Woman,35,A,Instagram,TRUE,252.56
53,Woman,20,C,Facebook,TRUE,303.76
22,Woman,78,C,TikTok,FALSE,138.48
50,Woman,46,B,Instagram,FALSE,328.03
76,Man,0,A,Google Search,FALSE,320.8
32,Woman,62,B,Google Search,TRUE,291
53,Man,35,C,Google Search,TRUE,258.16
28,Non-Binary,62,C,Google Search,TRUE,154.82
57,Non-Binary,46,A,Google Search,TRUE,275.87
44,Woman,79,C,TikTok,TRUE,249.14
65,Man,34,C,TikTok,TRUE,244.58
18,Woman,99,C,Instagram,FALSE,72.67
39,Woman,72,A,Google Search,TRUE,132.83
32,Woman,46,C,Facebook,FALSE,112.77
37,Woman,51,A,Google Search,TRUE,207.22
31,Woman,42,A,TikTok,FALSE,98.66
27,Man,48,C,Facebook,FALSE,50.32
49,Woman,36,B,Instagram,FALSE,345.86
24,Man,53,C,Instagram,TRUE,69.55
62,Man,18,C,Facebook,FALSE,231.66
22,Man,41,C,Google Search,TRUE,71.58
42,Man,29,C,Facebook,TRUE,147.92
48,Other,43,C,TikTok,FALSE,238
49,Man,15,C,Google Search,FALSE,216.3
35,Woman,37,C,Facebook,FALSE,136.16
41,Man,16,A,TikTok,TRUE,146.94
54,Man,1,B,Instagram,TRUE,235.48
18,Man,62,A,Facebook,TRUE,49.29
28,Woman,73,B,Instagram,FALSE,271.92
45,Woman,45,A,TikTok,TRUE,185.86
33,Man,39,C,Google Search,TRUE,137.16
61,Woman,40,B,Facebook,TRUE,373.71
50,Woman,30,A,Instagram,TRUE,292.7
41,Man,47,B,Google Search,TRUE,219.61
18,Woman,73,C,TikTok,FALSE,80.03
40,Man,7,B,TikTok,TRUE,98.4
35,Man,45,A,Google Search,TRUE,171.18
38,Man,28,C,Facebook,FALSE,174.84
22,Woman,49,B,Facebook,FALSE,47.77
47,Man,43,A,Google Search,FALSE,111.08
24,Man,54,C,Facebook,TRUE,70.35
37,Woman,66,C,Facebook,TRUE,149.48
46,Woman,67,B,Facebook,TRUE,232.34
